Datetime,Energy
2024-01-01 00:00:00,120
2024-01-01 01:00:00,130
2024-01-01 02:00:00,125
2024-01-01 03:00:00,140
2024-01-01 04:00:00,150
2024-01-01 05:00:00,160
2024-01-01 06:00:00,200
2024-01-01 07:00:00,300
2024-01-01 08:00:00,450
2024-01-01 09:00:00,500
2024-01-01 10:00:00,480
2024-01-01 11:00:00,460
2024-01-01 12:00:00,550
2024-01-01 13:00:00,600
2024-01-01 14:00:00,620
2024-01-01 15:00:00,580
2024-01-01 16:00:00,560
2024-01-01 17:00:00,700
2024-01-01 18:00:00,800
2024-01-01 19:00:00,750
2024-01-01 20:00:00,600
2024-01-01 21:00:00,500
2024-01-01 22:00:00,400
2024-01-01 23:00:00,300
